,sample_name,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank,Target
22,26libendopeg,0.0,0.9006483762317694,0.9307456911909748,0.0,0.0,0.0,0.07956443181349582,0.08709537762050597,0.0732576467228284,0.05555874529031718,24.77,False,1,False,0.6,20,0.5714285714285714,7,1,0,0,5,15,34.224314924656746
23,26libworstpeg,0.8123463108530332,0.5249933796219767,0.4735829530550732,0.0676906274888416,0.6049188313559835,0.6430560361620957,0.6641053299698411,0.6815109266184453,0.03355685945852367,0.718697068359296,64.03,False,0,False,0.5185185185185185,27,0.6153846153846154,13,1,0,0,22,5,6.470512057189576
24,28libbestpeg,0.18924664828166277,0.21044870729764462,0.06184614116129675,0.07138637803370439,0.0942999269107364,0.13560858660159825,0.22530077327141057,0.6484518977045473,0.1275383799995695,0.12181529905400926,73.15,False,1,False,0.6153846153846154,13,0.6153846153846154,13,1,0,0,6,7,24.10801928977169
25,28libendopeg,0.9880520608787917,0.6573612957158759,0.5766048632412252,0.060408775760431195,0.056801175313645064,0.015681453582410913,0.10830425746101587,0.10776822080787182,0.07753468667813025,0.09003796667067328,70.42,False,0,False,0.6363636363636364,11,0.6923076923076923,13,1,0,0,1,10,2.0610058040336163
26,28libworstpeg,0.9217861367205089,0.3714520334011633,0.20365945903646326,0.30584475913868553,0.4797841285166935,0.9284933592466412,0.030019027164729067,0.013199566722975892,0.2105070884720695,0.27790553974563537,70.42,False,0,False,0.6666666666666666,6,0.6923076923076923,13,1,0,0,1,5,2.879717977472501
27,31libbestpeg,0.16592679065211768,0.16836375819189484,0.1612781374683593,0.2267324013537374,0.22293645020242525,0.08572488686562986,0.06597586423863588,0.05054774414739505,0.021293641754651912,0.6054022524832324,34.7,False,1,False,0.4375,16,0.5384615384615384,13,1,0,0,5,11,44.83970418315068
28,31libendopeg,0.27440427328390793,0.6650027329193207,0.6957298347195406,0.5794480805830584,0.12214640766979444,0.33211332296977075,0.3900823925142894,0.4169761285386454,0.4509081327502367,0.48729184672239007,34.7,False,1,False,0.5,12,0.5714285714285714,7,1,0,0,5,7,54.3730605883663
29,31libworstpeg,0.0632726096824303,0.931660113478639,0.9732614171185522,0.9932214793971718,0.515954405088392,0.7388602405086717,0.758240217952086,0.7789213243082255,0.7914344479277637,0.0,6.51,False,0,False,0.5,30,0.07692307692307693,13,1,0,0,25,5,0.3294847116138223
30,33libbestpeg,0.7854467757548984,0.0667808507558696,0.1355420957062986,0.25203674584692154,0.24152107441801032,0.021602047982580978,0.01510912291775137,0.3575410640391511,0.3734146268021197,0.3125416378634083,44.24,False,1,False,0.5555555555555556,18,0.46153846153846156,13,1,0,0,5,13,44.7030782167432
31,33libendopeg,0.0,0.0,0.01795803503305525,0.010715611616654757,0.17116778664170776,0.18906780610912813,0.20391874356737394,0.2208787853839327,0.2390694011842141,0.26044738588197563,44.24,False,1,False,0.75,12,0.7142857142857143,7,1,0,0,5,7,37.6453096207206
