seq_id,locus,HEK293T_averageedited,HEK293T_average_unintendedediting,K562_averageedited,K562_average_unintendedediting,PRIDICT_editing,PRIDICT_unintended_editing,HEK_integrated_editing,HEK_ratio_integ_endo,HEK293_ATAC,HEK293_DNAse,HEK293_H3K4me3,HEK293_H3K27me3,HEK293_H3K9me3,HEK293_H3K36me3,K562_ATAC,K562_DNAse,K562_H3K4me3,K562_H3K27me3,K562_H3K9me3,K562_H3K36me3
seq_14,9,6.70392602,0,0.359500765,0,58.09893012,15.10408491,,,-0.203406714,-0.427744488,-0.617227294,-0.201432912,-0.484022613,0.27616021,-0.185190582,-0.300863969,-0.379833485,-0.611665221,0.233381426,0.8335368
seq_15,17,26.07159416,3.065331024,13.17488863,0,61.05336905,21.69292957,,,-0.698925031,-0.468841893,-0.628540494,-0.275425903,-0.570845485,0.132706255,-0.696525809,-0.554170291,-0.617020169,2.85091063,-1.187093461,0.248213245
seq_16,17,8.98274454,0.094152445,6.331166437,0,77.24565506,9.911278486,83.59140022,9.305775072,-0.698925031,-0.468841893,-0.628540494,-0.275425903,-0.570845485,0.132706255,-0.696525809,-0.554170291,-0.617020169,2.85091063,-1.187093461,0.248213245
seq_17,17,0.010090186,0,0,0,23.68164331,6.056310534,,,-0.698925031,-0.468841893,-0.628540494,-0.275425903,-0.570845485,0.132706255,-0.696525809,-0.554170291,-0.617020169,2.85091063,-1.187093461,0.248213245
seq_18,20,59.99260952,0,30.98217041,0,82.75541902,5.584397763,,,-0.686787798,-0.623460298,-0.640486027,-0.302866185,0.647692072,6.439972958,-0.700932631,-0.664294757,-0.628222321,-0.622389089,-0.767002472,2.09275005
seq_19,20,58.02005561,0.025647727,35.4688451,0,76.79418921,7.396470085,84.21726201,1.451519843,-0.686787798,-0.623460298,-0.640486027,-0.302866185,0.647692072,6.439972958,-0.700932631,-0.664294757,-0.628222321,-0.622389089,-0.767002472,2.09275005
seq_20,20,20.48879743,0,1.745185291,0.484324717,64.32569504,23.24325204,,,-0.686787798,-0.623460298,-0.640486027,-0.302866185,0.647692072,6.439972958,-0.700932631,-0.664294757,-0.628222321,-0.622389089,-0.767002472,2.09275005
seq_21,26,50.67730869,0,6.409150452,1.23502834,68.84768009,13.82208854,,,-0.500060415,-0.611163055,-0.638136924,-0.219686703,1.605995607,2.692093405,-0.471259187,-0.591317512,-0.632476698,-0.717205646,-0.494591861,2.121696845
seq_22,26,34.22431492,0,6.906844465,1.380998945,70.94757915,13.17436785,44.04379679,1.286915367,-0.500060415,-0.611163055,-0.638136924,-0.219686703,1.605995607,2.692093405,-0.471259187,-0.591317512,-0.632476698,-0.717205646,-0.494591861,2.121696845
seq_23,26,6.470512057,0,0.146018716,1.878989386,46.50415897,11.42842054,,,-0.500060415,-0.611163055,-0.638136924,-0.219686703,1.605995607,2.692093405,-0.471259187,-0.591317512,-0.632476698,-0.717205646,-0.494591861,2.121696845
